Name,Studio,Genre,Score,Ranked,Popularity,Members
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Toei Animation,Action,8.13,404,62206,2377
Tensei shitara Slime Datta Ken,8bit,Action,8.13,405,1189092,88
Toki wo Kakeru Shoujo,Madhouse,Drama,8.13,406,729455,216
Tonikaku Kawaii: SNS,Seven Arcs,Comedy,8.13,407,108674,1663
Mahoutsukai no Yome: Hoshi Matsu Hito,Wit Studio,Fantasy,8.12,408,255585,786
Mo Dao Zu Shi Q,B.CMAY PICTURES,Comedy,8.12,409,19117,4349
Mobile Suit Gundam 00,Sunrise,Action,8.12,410,204994,973
Mobile Suit Gundam: The Origin - Advent of the Red Comet,Sunrise,Action,8.12,411,17245,4546
Princess Tutu,Hal Film Maker,Comedy,8.12,412,152538,1285
Tamayura: Sotsugyou Shashin Part 4 - Ashita,TYO Animations,Comedy,8.12,413,9949,5641
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season,Lerche,Drama,8.12,414,215785,925
5-toubun no Hanayome ∬,Bibury Animation Studios,Comedy,8.12,415,578967,309
Black Clover,Pierrot,Action,8.12,416,1373848,68
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Kyoto Animation,Comedy,8.12,417,233528,853
Detective Conan Movie 05: Countdown to Heaven,TMS Entertainment,Adventure,8.12,418,57546,2499
Detective Conan Movie 14: The Lost Ship in the Sky,Tokyo Movie Shinsha,Action,8.12,419,51263,2650
Detroit Metal City,Studio 4°C,Comedy,8.12,420,197171,1008
Durarara!!,Brain's Base,Action,8.12,421,1299792,78
Fullmetal Alchemist,Bones,Action,8.12,422,1361482,73
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Sunrise,Action,8.12,423,37040,3162
Kono Subarashii Sekai ni Shukufuku wo!,Studio Deen,Adventure,8.12,424,1720207,37
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Production I.G,Mystery,8.12,425,93798,1850
Kuragehime,Brain's Base,Comedy,8.12,426,215304,926
Baccano! Specials,Brain's Base,Action,8.11,427,169463,1178
Diamond no Ace,Production I.G,Sports,8.11,428,221660,904
Douluo Dalu: Hanhai Qian Kun,Sparkly Key Animation Studio,Action,8.11,429,5363,7233
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Bandai Namco Pictures,Action,8.11,430,31036,3459
Haikyuu!! Movie 3: Sainou to Sense,Production I.G,Sports,8.11,431,69480,2227
Mobile Suit Gundam Unicorn,Sunrise,Action,8.11,432,89937,1898
One Piece Film: Strong World,Toei Animation,Action,8.11,433,217916,914
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,J.C.Staff,Comedy,8.11,434,188326,1045
Sakura-sou no Pet na Kanojo,J.C.Staff,Drama,8.11,435,1142359,95
Shokugeki no Souma: Ni no Sara,J.C.Staff,Gourmet,8.11,436,1032499,115
Tokyo Revengers,LIDENFILMS,Action,8.11,437,970414,124
Toradora!,J.C.Staff,Drama,8.11,438,1995621,20
Tsubasa: Shunraiki,Production I.G,Action,8.11,439,59271,2449
Uchouten Kazoku 2,P.A. Works,Comedy,8.11,440,59232,2453
No Game No Life,Madhouse,Comedy,8.1,441,2174544,15
Quanzhi Gaoshou: Dianfeng Rongyao,Colored Pencil Animation,Action,8.1,442,42397,2945
Tsukimonogatari,Shaft,Comedy,8.1,443,385730,484
Zankyou no Terror,MAPPA,Mystery,8.1,444,1038671,114
Akatsuki no Yona OVA,Pierrot,Action,8.1,445,120995,1518
Ansatsu Kyoushitsu,Lerche,Action,8.1,446,1760291,34
Douluo Dalu: Qian Hua Xi Jin,Sparkly Key Animation Studio,Action,8.1,447,7602,6321
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ajia-Do,Fantasy,8.1,448,100423,1768
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,David Production,Action,8.1,449,1039210,113
Kanata no Astra,Lerche,Adventure,8.1,450,264514,759
Kaze Tachinu,Studio Ghibli,Drama,8.1,451,281970,706
Kuroko no Basket: Saikou no Present Desu,Production I.G,Action,8.1,452,93158,1861
Love Live! Superstar!! 2nd Season,Sunrise,Slice of Life,8.1,453,15506,4732
Douluo Dalu: Jingying Sai,Sparkly Key Animation Studio,Action,8.09,454,14379,4879
Gin no Saji,A-1 Pictures,Comedy,8.09,455,269241,746
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Magic Bus,Action,8.09,456,31123,3449
Hajime no Ippo: Boxer no Kobushi,Madhouse,Sports,8.09,457,46785,2776
Hyouka,Kyoto Animation,Mystery,8.09,458,1227207,87
Mirai Shounen Conan,Nippon Animation,Adventure,8.09,459,43966,2871
Mobile Suit Gundam 00 Second Season,Sunrise,Action,8.09,460,140295,1365
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,TMS Entertainment,Action,8.09,461,69357,2231
Skip Beat!,Hal Film Maker,Comedy,8.09,462,250022,799
Tsuki ga Kirei,feel.,Romance,8.09,463,481103,380
Mairimashita! Iruma-kun 2nd Season,Bandai Namco Pictures,Comedy,8.08,464,230075,866
Stand By Me Doraemon,Shirogumi,Comedy,8.08,465,45889,2811
World Trigger 2nd Season,Toei Animation,Action,8.08,466,120851,1520
Yowamushi Pedal: Grande Road,TMS Entertainment,Sports,8.08,467,126771,1464
Yuusha-Ou GaoGaiGar Final,Sunrise,Adventure,8.08,468,9044,5885
Boku no Hero Academia 3rd Season,Bones,Action,8.08,469,1920467,24
Detective Conan Movie 18: The Sniper from Another Dimension,TMS Entertainment,Action,8.08,470,38414,3109
Douluo Dalu: Haishen Zhi Guang,Sparkly Key Animation Studio,Action,8.08,471,5379,7223
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Sunrise,Action,8.08,472,52215,2615
Hidamari Sketch: Sae Hiro Sotsugyou-hen,Shaft,Comedy,8.08,473,12575,5155
Hikaru no Go,Pierrot,Comedy,8.08,474,127246,1457
Hololive Alternative,Hololive Production,Music,8.08,475,8000,6171
Initial D Fifth Stage,SynergySP,Action,8.08,476,123475,1493
Kamisama Hajimemashita,TMS Entertainment,Comedy,8.08,477,575546,314
Karakai Jouzu no Takagi-san 2,Shin-Ei Animation,Comedy,8.08,478,286270,693
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Production I.G,Action,8.08,479,37993,3125
Kuroko no Basket,Production I.G,Sports,8.08,480,1073577,108
Kuroko no Basket Movie 4: Last Game,Production I.G,Sports,8.08,481,255033,788
Kuroshitsuji: Book of Circus,A-1 Pictures,Action,8.08,482,365621,514
Angel Beats!,P.A. Works,Drama,8.07,483,1915545,27
Darker than Black: Kuro no Keiyakusha,Bones,Action,8.07,484,870780,154
Detective Conan Movie 08: Magician of the Silver Sky,TMS Entertainment,Adventure,8.07,485,51372,2646
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Shin-Ei Animation,Adventure,8.07,486,11195,5375
Dorohedoro,MAPPA,Action,8.07,487,448815,415
Durarara!!x2 Ketsu,Shuka,Action,8.07,488,350615,543
Ginga Eiyuu Densetsu Gaiden (1999),Artland,Action,8.07,489,18357,4422
Gintama: Dai Hanseikai,Sunrise,Action,8.07,490,34798,3285
Girls & Panzer: Saishuushou Part 2,Actas,Military,8.07,491,28511,3624
Kuroshitsuji: Book of Murder,A-1 Pictures,Action,8.07,492,222898,899
Mahoutsukai no Yome,Wit Studio,Fantasy,8.07,493,793225,179
Serial Experiments Lain,Triangle Staff,Avant Garde,8.07,494,647766,255
Shijou Saikyou no Deshi Kenichi,TMS Entertainment,Action,8.07,495,279514,715
Omoide no Marnie,Studio Ghibli,Drama,8.06,496,256893,781
City Hunter 2,Sunrise,Action,8.06,497,23582,3954
Dennou Coil,Madhouse,Adventure,8.06,498,136358,1392
Glass no Kamen (2005),Tokyo Movie Shinsha,Drama,8.06,499,35988,3214
Gosick,Bones,Drama,8.06,500,497555,366
Kodomo no Omocha (TV),Gallop,Comedy,8.06,501,60301,2424
Koukyoushihen Eureka Seven,Bones,Adventure,8.06,502,413270,450
Kyou kara Ore wa!!,Pierrot,Comedy,8.06,503,29621,3552
Lycoris Recoil,A-1 Pictures,Action,8.06,504,89753,1899
Ao Ashi,Production I.G,Sports,8.05,505,98977,1783
Fate/stay night: Unlimited Blade Works Prologue,ufotable,Action,8.05,506,293151,678
Kill la Kill,Trigger,Action,8.05,507,1564802,50
xxxHOLiC: Shunmuki,Production I.G,Comedy,8.05,508,65650,2306
Mobile Suit Gundam: Iron-Blooded Orphans,Sunrise,Action,8.04,509,207374,964
Paprika,Madhouse,Avant Garde,8.04,510,465933,393
Saint Seiya: Meiou Hades Juuni Kyuu-hen,Toei Animation,Adventure,8.04,511,52407,2612
Summer Wars,Madhouse,Comedy,8.04,512,485381,377
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,feel.,Comedy,8.04,513,217896,915
BanG Dream! 3rd Season,SANZIGEN,Music,8.04,514,30666,3479
Detective Conan Movie 10: Requiem of the Detectives,TMS Entertainment,Adventure,8.04,515,50750,2670
Full Metal Panic? Fumoffu,Kyoto Animation,Action,8.04,516,278969,716
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,ufotable,Action,8.04,517,211700,948
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,Studio Deen,Adventure,8.04,518,324365,598
Akatsuki no Yona,Pierrot,Action,8.03,519,758199,196
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,SANZIGEN,Music,8.03,520,5849,7007
Black Lagoon,Madhouse,Action,8.03,521,886497,150
Black Lagoon: Roberta's Blood Trail,Madhouse,Action,8.03,522,261175,768
Detective Conan Movie 03: The Last Wizard of the Century,TMS Entertainment,Adventure,8.03,523,59891,2433
Detective Conan Movie 04: Captured in Her Eyes,TMS Entertainment,Adventure,8.03,524,56452,2518
Douluo Dalu: Hao Tian Yang Wei,Sparkly Key Animation Studio,Action,8.03,525,7777,6243
Eve no Jikan,Studio Rikka,Sci-Fi,8.03,526,171948,1151
FLCL,Gainax,Action,8.03,527,737245,211
Ginga Nagareboshi Gin,Toei Animation,Action,8.03,528,24490,3895
Juuni Kokuki,Pierrot,Action,8.03,529,133228,1410
Kamisama Hajimemashita OVA,TMS Entertainment,Comedy,8.03,530,115341,1581
Lovely★Complex,Toei Animation,Comedy,8.03,531,530749,344
Saiunkoku Monogatari 2nd Season,Madhouse,Adventure,8.03,532,38369,3111
Shokugeki no Souma: San no Sara,J.C.Staff,Gourmet,8.03,533,876284,151
SK∞,Bones,Sports,8.03,534,455008,404
Toaru Kagaku no Railgun S,J.C.Staff,Action,8.03,535,356172,532
Tsumiki no Ie,Oh! Production,Award Winning,8.03,536,89563,1902
Yofukashi no Uta,LIDENFILMS,Romance,8.03,537,209024,953
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Studio Gokumi,Drama,8.03,538,13442,5008
Zombieland Saga: Revenge,MAPPA,Comedy,8.03,539,181244,1089
Magi: The Labyrinth of Magic,A-1 Pictures,Action,8.02,540,947511,134
Omae Umasou da na,Ajia-Do,Action,8.02,541,17308,4533
Persona 3 the Movie 4: Winter of Rebirth,A-1 Pictures,Action,8.02,542,64080,2339
Slayers Next,E&G Films,Adventure,8.02,543,65713,2303
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,A-1 Pictures,Action,8.02,544,174592,1127
Tokyo Magnitude 8.0,Bones,Drama,8.02,545,277477,722
Uma Musume: Pretty Derby (TV) Season 2,Studio Kai,Sports,8.02,546,37853,3135
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Brain's Base,Comedy,8.02,547,1274265,82
Baby Steps 2nd Season,Pierrot,Sports,8.02,548,85584,1968
D.Gray-man,TMS Entertainment,Action,8.02,549,645574,257
Detective Conan Movie 15: Quarter of Silence,TMS Entertainment,Adventure,8.02,550,43316,2895
Evangelion: 1.0 You Are (Not) Alone,Khara,Action,8.02,551,494890,368
Golden Boy,APPP,Adventure,8.02,552,328987,592
Hachimitsu to Clover,J.C.Staff,Comedy,8.02,553,248215,804
Kaichou wa Maid-sama!,J.C.Staff,Comedy,8.02,554,1132337,97
Kami nomi zo Shiru Sekai: Megami-hen,Manglobe,Comedy,8.02,555,318701,609
Kara no Kyoukai Movie: Mirai Fukuin,ufotable,Drama,8.02,556,105259,1706
"Komi-san wa, Comyushou desu.",OLM,Comedy,8.02,557,672864,240
Aria the OVA: Arietta,Hal Film Maker,Fantasy,8.01,558,35095,3263
Boku no Hero Academia the Movie 2: Heroes:Rising,Bones,Action,8.01,559,475893,385
Clannad,Kyoto Animation,Drama,8.01,560,1306909,77
ef: A Tale of Melodies.,Shaft,Drama,8.01,561,157684,1249
Fullmetal Alchemist: Brotherhood Specials,Bones,Drama,8.01,562,146801,1325
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,Production I.G,Drama,8.01,563,23888,3936
Haikyuu!! Movie 2: Shousha to Haisha,Production I.G,Sports,8.01,564,76580,2094
Hanada Shounen-shi,Madhouse,Comedy,8.01,565,13999,4921
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Ajia-Do,Fantasy,8.01,566,241746,824
Mobile Suit Gundam: The 08th MS Team,Sunrise,Adventure,8.01,567,73564,2145
Pui Pui Molcar,Shin-Ei Animation,Comedy,8.01,568,12243,5207
Tate no Yuusha no Nariagari,Kinema Citrus,Action,8.01,569,1359521,74
Maoujou de Oyasumi,Doga Kobo,Comedy,8.0,570,174808,1126
Nagi no Asu kara,P.A. Works,Drama,8.0,571,559295,326
School Rumble Ni Gakki,Studio Comet,Comedy,8.0,572,150873,1293
Touch,Group TAC,Drama,8.0,573,32005,3411
Wolf's Rain OVA,Bones,Adventure,8.0,574,61808,2386
Doupo Cangqiong 4th Season,Motion Magic,Action,8.0,575,4172,8018
